part_id,machine,diameter_mm,vibration_mm_s
1,M1,20.057,2.64
2,M1,19.962,1.77
3,M1,19.968,2.52
4,M1,20.016,2.23
5,M1,19.977,2.35
6,M1,20.037,2.42
7,M1,19.978,1.81
8,M1,19.939,2.24
9,M1,19.967,2.48
10,M1,19.929,2.61
11,M1,19.975,2.43
12,M1,20.021,1.85
13,M1,20.001,2.22
14,M1,19.994,2.07
15,M1,19.942,2.17
16,M1,19.965,2.51
17,M1,19.982,1.7
18,M1,20.01,2.32
19,M1,20.113,2.29
20,M1,19.968,1.84
21,M1,20.041,2.51
22,M1,19.947,1.96
23,M1,19.952,2.17
24,M1,19.91,1.32
25,M1,19.964,2.51
26,M1,20.046,2.06
27,M1,19.998,2.05
28,M1,20.054,2.62
29,M1,19.976,1.53
30,M1,20.047,2.43
31,M1,19.974,2.49
32,M1,20.039,1.51
33,M1,20.072,2.24
34,M1,19.988,2.03
35,M1,19.938,1.81
36,M1,20.081,1.73
37,M1,19.959,2.38
38,M1,19.973,2.53
39,M1,19.985,1.79
40,M1,20.04,1.85
41,M2,20.07,2.97
42,M2,20.068,3.48
43,M2,20.026,2.2
44,M2,20.03,2.23
45,M2,20.076,2.35
46,M2,20.114,2.35
47,M2,19.983,3.08
48,M2,20.095,2.37
49,M2,20.082,3.43
50,M2,20.069,2.85
51,M2,20.008,3.03
52,M2,20.044,2.91
53,M2,20.057,2.36
54,M2,20.011,2.24
55,M2,20.093,3.01
56,M2,20.018,3.1
57,M2,20.109,2.84
58,M2,19.972,2.7
59,M2,19.978,2.74
60,M2,19.955,2.78
61,M2,20.072,2.26
62,M2,19.999,2.72
63,M2,20.003,2.71
64,M2,20.081,2.12
65,M2,20.118,1.82
66,M2,20.006,2.62
67,M2,20.101,2.03
68,M2,20.064,1.93
69,M2,20.039,2.13
70,M2,19.986,2.77
71,M2,19.976,2.69
72,M2,20.042,2.73
73,M2,20.046,3.26
74,M2,20.008,2.87
75,M2,19.995,3.21
76,M2,19.98,2.76
77,M2,20.056,3.05
78,M2,20.07,3.22
79,M2,20.072,3.36
80,M2,20.067,2.63
81,M3,19.955,1.95
82,M3,20.052,2.37
83,M3,19.934,2.8
84,M3,20.005,2.87
85,M3,19.961,2.39
86,M3,19.929,2.47
87,M3,19.95,2.88
88,M3,20.004,2.41
89,M3,20.029,2.57
90,M3,19.994,2.66
91,M3,19.848,2.28
92,M3,20.013,2.07
93,M3,19.884,3.17
94,M3,20.066,2.16
95,M3,19.989,2.0
96,M3,19.986,2.26
97,M3,20.025,2.4
98,M3,19.967,2.45
99,M3,19.968,2.24
100,M3,19.962,2.52
101,M3,19.985,2.92
102,M3,19.983,2.24
103,M3,19.99,2.36
104,M3,19.83,2.81
105,M3,19.975,2.02
106,M3,19.908,1.95
107,M3,20.103,2.12
108,M3,20.016,2.31
109,M3,20.022,2.65
110,M3,20.001,1.81
111,M3,20.01,2.13
112,M3,19.939,5.6
113,M3,20.015,1.82
114,M3,20.018,1.92
115,M3,19.988,2.6
116,M3,20.015,2.38
117,M3,20.028,2.4
118,M3,19.98,2.56
119,M3,19.929,2.5
120,M3,20.017,2.49
