shipment_id,supplier,lead_time_days
1,S1,9.15
2,S1,6.47
3,S1,3.88
4,S1,4.7
5,S1,6.25
6,S1,5.18
7,S1,6.03
8,S1,3.78
9,S1,6.28
10,S1,3.51
11,S1,5.01
12,S1,3.91
13,S1,3.19
14,S1,3.42
15,S1,5.41
16,S1,4.56
17,S1,3.84
18,S1,4.17
19,S1,6.0
20,S1,6.92
21,S1,3.45
22,S1,5.62
23,S1,7.31
24,S1,4.52
25,S1,6.75
26,S1,3.52
27,S1,3.07
28,S1,3.89
29,S1,3.17
30,S1,2.9
31,S1,3.39
32,S1,5.38
33,S1,5.81
34,S1,4.56
35,S1,4.18
36,S1,4.65
37,S1,5.89
38,S1,5.2
39,S1,4.75
40,S1,3.43
41,S2,7.58
42,S2,6.81
43,S2,5.06
44,S2,6.94
45,S2,3.98
46,S2,4.36
47,S2,9.93
48,S2,7.78
49,S2,4.48
50,S2,8.28
51,S2,5.41
52,S2,4.62
53,S2,11.95
54,S2,4.17
55,S2,6.66
56,S2,4.02
57,S2,4.36
58,S2,7.2
59,S2,4.01
60,S2,5.31
61,S2,3.57
62,S2,7.26
63,S2,6.09
64,S2,3.82
65,S2,4.99
66,S2,4.62
67,S2,4.44
68,S2,5.69
69,S2,4.64
70,S2,5.5
71,S2,3.86
72,S2,3.59
73,S2,3.94
74,S2,5.8
75,S2,8.56
76,S2,4.76
77,S2,3.7
78,S2,3.49
79,S2,6.62
80,S2,4.84
81,S3,5.78
82,S3,4.62
83,S3,7.18
84,S3,7.66
85,S3,5.71
86,S3,6.23
87,S3,4.48
88,S3,8.45
89,S3,4.85
90,S3,3.86
91,S3,9.52
92,S3,7.75
93,S3,5.3
94,S3,6.49
95,S3,3.12
96,S3,6.06
97,S3,7.08
98,S3,7.87
99,S3,5.15
100,S3,4.78
101,S3,6.86
102,S3,4.91
103,S3,5.47
104,S3,3.41
105,S3,8.67
106,S3,5.87
107,S3,5.94
108,S3,8.35
109,S3,7.01
110,S3,4.62
111,S3,3.49
112,S3,7.53
113,S3,3.7
114,S3,5.69
115,S3,5.63
116,S3,4.25
117,S3,18.5
118,S3,7.01
119,S3,7.52
120,S3,4.24
