sensor_id,calibration_error_c
1,0.334
2,0.383
3,1.644
4,0.627
5,0.615
6,-0.525
7,0.029
8,0.875
9,0.647
10,0.393
11,-1.214
12,-0.797
13,-0.06
14,0.496
15,0.719
16,0.683
17,0.066
18,-0.67
19,0.636
20,1.031
21,-0.213
22,0.441
23,0.214
24,-0.35
25,-0.01
26,1.239
27,0.771
28,1.426
29,0.009
30,0.844
31,0.665
32,0.896
33,0.027
34,1.44
35,-0.368
36,-0.697
37,-0.436
38,0.484
39,-0.205
40,-0.578
41,-0.258
42,0.179
43,1.102
44,0.235
45,-0.328
46,1.302
47,-0.84
48,-0.026
49,0.011
50,-0.417
51,0.119
52,-0.513
53,0.173
54,0.179
55,-0.437
56,0.241
57,-0.139
58,-0.825
59,0.314
60,0.232
61,0.796
62,0.024
63,-0.25
64,-0.336
