specimen_id,process,durability_h
1,standard,112.45
2,standard,109.55
3,standard,131.35
4,standard,130.96
5,standard,110.15
6,standard,89.97
7,standard,115.75
8,standard,129.72
9,standard,113.43
10,standard,126.77
11,standard,108.68
12,standard,109.85
13,standard,131.73
14,standard,115.27
15,standard,126.59
16,standard,151.87
17,standard,128.71
18,standard,142.1
19,standard,103.19
20,standard,108.12
21,standard,122.96
22,standard,107.93
23,standard,128.35
24,standard,121.68
25,standard,72.93
26,standard,128.21
27,standard,103.59
28,standard,145.02
29,standard,129.55
30,standard,119.66
31,standard,123.72
32,standard,101.75
33,standard,116.99
34,standard,82.68
35,standard,115.51
36,standard,129.79
37,standard,113.82
38,standard,102.69
39,standard,103.05
40,standard,110.25
41,standard,124.73
42,standard,139.17
43,standard,98.63
44,standard,122.0
45,modified,141.34
46,modified,121.09
47,modified,144.49
48,modified,107.96
49,modified,128.38
50,modified,156.79
51,modified,122.52
52,modified,149.11
53,modified,139.64
54,modified,100.37
55,modified,99.42
56,modified,139.62
57,modified,119.82
58,modified,140.27
59,modified,159.08
60,modified,122.07
61,modified,137.56
62,modified,180.77
63,modified,124.99
64,modified,112.5
65,modified,115.33
66,modified,151.07
67,modified,134.47
68,modified,122.7
69,modified,135.12
70,modified,108.06
71,modified,76.48
72,modified,148.51
73,modified,147.23
74,modified,119.06
75,modified,158.66
76,modified,133.6
77,modified,136.13
78,modified,150.59
79,modified,155.9
80,modified,158.84
81,modified,148.68
82,modified,168.63
83,modified,113.35
84,modified,153.34
85,modified,135.6
86,modified,150.06
87,modified,120.9
88,modified,138.69
89,modified,68.12
90,modified,133.73
91,modified,108.6
92,modified,120.31
