building_id,before_kwh_day,after_kwh_day
1,91.57,87.75
2,95.33,90.14
3,85.2,85.61
4,75.96,64.3
5,85.33,81.9
6,84.04,74.45
7,74.98,76.67
8,78.71,72.88
9,73.17,69.32
10,82.2,75.81
11,77.18,74.47
12,86.6,76.86
13,69.46,67.18
14,82.34,79.84
15,82.85,74.54
16,81.98,82.28
17,76.1,74.97
18,75.63,68.75
19,80.62,83.33
20,69.82,56.75
21,78.9,70.77
22,86.11,82.59
23,82.66,71.03
24,82.58,82.37
25,78.94,65.77
26,79.03,81.93
27,69.24,66.38
28,75.44,76.56
29,87.78,83.83
30,88.85,80.74
31,67.77,66.72
32,78.59,77.79
33,80.48,73.96
34,85.76,77.42
35,93.46,84.26
36,83.55,74.67
