specimen_id,curing_method,strength_mpa
1,ambient,53.09
2,ambient,48.91
3,ambient,55.11
4,ambient,54.53
5,ambient,57.05
6,ambient,50.83
7,ambient,57.79
8,ambient,50.27
9,ambient,58.23
10,ambient,53.09
11,ambient,43.46
12,ambient,56.39
13,ambient,68.41
14,ambient,55.27
15,ambient,45.74
16,ambient,44.05
17,ambient,54.81
18,ambient,52.09
19,ambient,51.86
20,ambient,46.34
21,ambient,45.64
22,ambient,48.26
23,ambient,52.2
24,ambient,48.86
25,thermal,59.79
26,thermal,57.96
27,thermal,61.55
28,thermal,51.83
29,thermal,54.36
30,thermal,61.33
31,thermal,50.75
32,thermal,57.78
33,thermal,63.72
34,thermal,55.83
35,thermal,52.17
36,thermal,55.52
37,thermal,53.41
38,thermal,55.2
39,thermal,51.77
40,thermal,54.78
41,thermal,59.55
42,thermal,53.62
43,thermal,50.58
44,thermal,59.36
45,thermal,60.05
46,thermal,55.63
47,thermal,56.09
48,thermal,47.01
49,uv,51.96
50,uv,62.93
51,uv,54.24
52,uv,58.84
53,uv,50.64
54,uv,57.4
55,uv,59.04
56,uv,59.89
57,uv,53.12
58,uv,58.95
59,uv,55.27
60,uv,50.57
61,uv,56.61
62,uv,51.69
63,uv,60.5
64,uv,54.22
65,uv,56.25
66,uv,57.39
67,uv,52.76
68,uv,53.08
69,uv,54.43
70,uv,52.51
71,uv,51.06
72,uv,56.65
73,hybrid,56.82
74,hybrid,68.69
75,hybrid,73.71
76,hybrid,69.57
77,hybrid,57.35
78,hybrid,66.52
79,hybrid,63.22
80,hybrid,62.16
81,hybrid,58.87
82,hybrid,65.01
83,hybrid,72.23
84,hybrid,57.89
85,hybrid,67.44
86,hybrid,70.45
87,hybrid,61.35
88,hybrid,54.82
89,hybrid,56.69
90,hybrid,53.28
91,hybrid,64.07
92,hybrid,66.36
93,hybrid,69.71
94,hybrid,63.76
95,hybrid,54.29
96,hybrid,71.47
