run_id,flow_l_min,energy_kwh
1,22.7,18.11
2,22.93,13.534
3,23.42,15.3
4,24.35,17.677
5,25.13,18.42
6,26.01,18.234
7,27.98,19.724
8,28.2,17.945
9,29.74,29.085
10,29.91,20.828
11,32.98,20.166
12,34.06,18.948
13,34.26,23.601
14,36.0,21.269
15,36.71,21.196
16,37.82,23.444
17,39.06,26.402
18,40.71,28.35
19,42.79,24.575
20,44.11,26.202
21,44.37,29.98
22,44.4,30.907
23,48.59,31.075
24,49.12,27.101
25,51.58,33.494
26,55.37,27.926
27,55.97,26.463
28,59.96,34.507
29,60.79,34.387
30,61.01,30.43
31,61.6,29.096
32,65.3,32.977
33,65.61,40.26
34,66.12,38.221
35,68.24,34.14
36,70.57,38.262
37,72.98,41.298
38,74.11,38.358
39,75.23,36.694
40,77.41,44.482
41,77.56,41.152
42,77.78,41.515
43,83.81,38.612
44,84.0,44.341
45,84.24,35.978
46,85.77,44.743
47,86.38,41.718
48,88.11,40.483
49,88.36,43.101
50,89.77,47.078
51,91.13,45.582
52,92.86,49.096
53,94.2,49.793
54,96.9,47.223
55,97.0,47.294
