event_id,site,event_type
1,north,mechanical
2,north,network
3,north,sensor
4,north,network
5,north,sensor
6,north,sensor
7,north,sensor
8,north,power
9,north,power
10,north,sensor
11,north,mechanical
12,north,sensor
13,north,network
14,north,sensor
15,north,sensor
16,north,mechanical
17,north,sensor
18,north,network
19,north,sensor
20,north,network
21,north,network
22,north,sensor
23,north,sensor
24,north,network
25,north,sensor
26,north,sensor
27,north,sensor
28,north,sensor
29,north,sensor
30,north,sensor
31,north,sensor
32,north,mechanical
33,north,sensor
34,north,network
35,north,network
36,north,network
37,north,mechanical
38,north,sensor
39,north,sensor
40,north,mechanical
41,north,network
42,north,sensor
43,north,sensor
44,north,mechanical
45,north,network
46,north,sensor
47,north,power
48,north,sensor
49,north,sensor
50,north,network
51,north,sensor
52,north,power
53,north,sensor
54,north,sensor
55,north,sensor
56,north,power
57,north,power
58,north,mechanical
59,north,network
60,north,power
61,north,sensor
62,north,sensor
63,north,network
64,north,mechanical
65,north,sensor
66,north,sensor
67,north,sensor
68,north,sensor
69,north,sensor
70,north,sensor
71,north,sensor
72,north,sensor
73,north,sensor
74,north,mechanical
75,north,network
76,north,sensor
77,north,network
78,north,network
79,north,mechanical
80,north,sensor
81,north,network
82,north,mechanical
83,north,mechanical
84,north,mechanical
85,north,sensor
86,north,sensor
87,north,mechanical
88,north,network
89,north,sensor
90,north,sensor
91,central,mechanical
92,central,sensor
93,central,sensor
94,central,network
95,central,sensor
96,central,sensor
97,central,network
98,central,network
99,central,power
100,central,network
101,central,mechanical
102,central,sensor
103,central,network
104,central,sensor
105,central,mechanical
106,central,power
107,central,power
108,central,sensor
109,central,network
110,central,sensor
111,central,sensor
112,central,network
113,central,mechanical
114,central,sensor
115,central,sensor
116,central,sensor
117,central,sensor
118,central,mechanical
119,central,sensor
120,central,power
121,central,sensor
122,central,mechanical
123,central,network
124,central,sensor
125,central,sensor
126,central,power
127,central,mechanical
128,central,network
129,central,network
130,central,mechanical
131,central,power
132,central,network
133,central,network
134,central,power
135,central,sensor
136,central,network
137,central,mechanical
138,central,sensor
139,central,mechanical
140,central,network
141,central,sensor
142,central,network
143,central,network
144,central,sensor
145,central,mechanical
146,central,mechanical
147,central,network
148,central,network
149,central,mechanical
150,central,network
151,central,mechanical
152,central,mechanical
153,central,network
154,central,sensor
155,central,mechanical
156,central,mechanical
157,central,mechanical
158,central,network
159,central,power
160,central,power
161,central,mechanical
162,central,sensor
163,central,network
164,central,network
165,central,network
166,central,sensor
167,central,network
168,central,sensor
169,central,sensor
170,central,network
171,central,sensor
172,central,sensor
173,central,network
174,central,mechanical
175,central,network
176,central,power
177,central,power
178,central,network
179,central,sensor
180,central,mechanical
181,coastal,network
182,coastal,mechanical
183,coastal,mechanical
184,coastal,sensor
185,coastal,network
186,coastal,sensor
187,coastal,power
188,coastal,sensor
189,coastal,sensor
190,coastal,mechanical
191,coastal,network
192,coastal,network
193,coastal,sensor
194,coastal,network
195,coastal,sensor
196,coastal,sensor
197,coastal,network
198,coastal,sensor
199,coastal,power
200,coastal,mechanical
201,coastal,network
202,coastal,sensor
203,coastal,sensor
204,coastal,network
205,coastal,mechanical
206,coastal,sensor
207,coastal,mechanical
208,coastal,sensor
209,coastal,mechanical
210,coastal,mechanical
211,coastal,sensor
212,coastal,mechanical
213,coastal,network
214,coastal,sensor
215,coastal,mechanical
216,coastal,power
217,coastal,mechanical
218,coastal,sensor
219,coastal,sensor
220,coastal,network
221,coastal,mechanical
222,coastal,sensor
223,coastal,sensor
224,coastal,mechanical
225,coastal,network
226,coastal,mechanical
227,coastal,network
228,coastal,mechanical
229,coastal,mechanical
230,coastal,power
231,coastal,sensor
232,coastal,mechanical
233,coastal,mechanical
234,coastal,power
235,coastal,sensor
236,coastal,mechanical
237,coastal,sensor
238,coastal,mechanical
239,coastal,sensor
240,coastal,sensor
241,coastal,network
242,coastal,mechanical
243,coastal,network
244,coastal,mechanical
245,coastal,network
246,coastal,sensor
247,coastal,mechanical
248,coastal,network
249,coastal,mechanical
250,coastal,power
251,coastal,sensor
252,coastal,power
253,coastal,sensor
254,coastal,network
255,coastal,sensor
256,coastal,sensor
257,coastal,power
258,coastal,sensor
259,coastal,network
260,coastal,network
261,coastal,network
262,coastal,mechanical
263,coastal,sensor
264,coastal,sensor
265,coastal,power
266,coastal,mechanical
267,coastal,mechanical
268,coastal,mechanical
269,coastal,sensor
270,coastal,network
