unit_id,lifetime_h
1,49.33
2,419.59
3,20.02
4,224.37
5,558.04
6,28.66
7,246.52
8,30.94
9,75.11
10,301.4
11,938.86
12,51.28
13,788.95
14,290.28
15,424.62
16,145.99
17,1359.61
18,128.27
19,352.31
20,113.26
21,271.88
22,546.15
23,671.21
24,217.68
25,266.15
26,38.58
27,31.33
28,167.16
29,360.45
30,39.56
31,36.8
32,1741.42
33,221.44
34,1061.16
35,743.79
36,518.28
37,131.17
38,16.5
39,158.89
40,1111.85
41,193.62
42,194.81
43,5.01
44,42.21
45,478.2
46,318.7
47,41.43
48,111.08
49,533.49
50,126.04
51,520.38
52,896.45
53,301.41
54,38.98
55,66.17
56,252.3
57,58.21
58,87.44
59,994.11
60,378.11
61,320.92
62,207.05
63,627.05
64,222.01
65,388.81
66,261.42
67,218.39
68,393.38
69,1033.08
70,68.24
71,419.16
72,504.34
73,465.31
74,101.23
75,60.84
76,81.46
77,258.02
78,85.27
79,123.32
80,34.55
