line,defect_type
L1,contamination
L1,contamination
L1,solder
L1,contamination
L1,alignment
L1,solder
L1,solder
L1,alignment
L1,contamination
L1,contamination
L1,solder
L1,solder
L1,contamination
L1,alignment
L1,contamination
L1,alignment
L1,solder
L1,alignment
L1,alignment
L1,contamination
L1,solder
L1,solder
L1,contamination
L1,solder
L1,alignment
L1,other
L1,contamination
L1,contamination
L1,other
L1,contamination
L1,other
L1,alignment
L1,alignment
L1,solder
L1,solder
L1,alignment
L1,solder
L1,solder
L1,contamination
L1,contamination
L1,solder
L1,solder
L1,alignment
L1,solder
L1,alignment
L1,solder
L1,contamination
L1,solder
L1,solder
L1,solder
L1,alignment
L1,other
L1,solder
L1,solder
L1,solder
L1,contamination
L1,solder
L1,other
L1,solder
L1,alignment
L1,contamination
L1,alignment
L1,solder
L1,contamination
L1,alignment
L1,other
L1,solder
L1,alignment
L1,alignment
L1,other
L1,solder
L1,contamination
L1,contamination
L1,contamination
L1,alignment
L1,alignment
L1,contamination
L1,solder
L1,solder
L1,contamination
L1,contamination
L1,contamination
L1,solder
L1,contamination
L1,contamination
L1,solder
L1,contamination
L1,other
L1,solder
L1,solder
L1,alignment
L1,contamination
L1,alignment
L1,other
L1,other
L1,contamination
L1,contamination
L1,solder
L1,solder
L1,contamination
L1,solder
L1,solder
L1,solder
L1,solder
L1,alignment
L1,other
L1,solder
L1,contamination
L1,solder
L1,contamination
L1,other
L1,alignment
L1,alignment
L1,other
L1,solder
L1,other
L1,other
L1,other
L1,contamination
L1,alignment
L2,alignment
L2,alignment
L2,solder
L2,other
L2,solder
L2,solder
L2,other
L2,other
L2,solder
L2,other
L2,contamination
L2,contamination
L2,alignment
L2,solder
L2,solder
L2,solder
L2,solder
L2,solder
L2,solder
L2,solder
L2,solder
L2,contamination
L2,alignment
L2,alignment
L2,contamination
L2,contamination
L2,solder
L2,alignment
L2,other
L2,solder
L2,alignment
L2,contamination
L2,solder
L2,alignment
L2,contamination
L2,contamination
L2,alignment
L2,alignment
L2,alignment
L2,solder
L2,solder
L2,other
L2,solder
L2,solder
L2,solder
L2,solder
L2,alignment
L2,alignment
L2,solder
L2,solder
L2,other
L2,solder
L2,other
L2,solder
L2,alignment
L2,contamination
L2,alignment
L2,alignment
L2,solder
L2,contamination
L2,alignment
L2,other
L2,other
L2,contamination
L2,contamination
L2,other
L2,alignment
L2,alignment
L2,alignment
L2,alignment
L2,alignment
L2,alignment
L2,solder
L2,solder
L2,solder
L2,solder
L2,alignment
L2,other
L2,solder
L2,contamination
L2,solder
L2,alignment
L2,solder
L2,alignment
L2,alignment
L2,contamination
L2,solder
L2,alignment
L2,contamination
L2,alignment
L2,solder
L2,contamination
L2,solder
L2,solder
L2,solder
L2,contamination
L2,contamination
L2,contamination
L2,contamination
L2,contamination
L2,other
L2,alignment
L2,alignment
L2,other
L2,alignment
L2,solder
L2,other
L2,solder
L2,alignment
L2,other
L2,alignment
L2,alignment
L2,solder
L2,solder
L2,alignment
L2,alignment
L2,alignment
L2,contamination
L2,other
L2,alignment
L3,alignment
L3,contamination
L3,alignment
L3,solder
L3,contamination
L3,contamination
L3,other
L3,solder
L3,alignment
L3,solder
L3,alignment
L3,alignment
L3,solder
L3,other
L3,alignment
L3,solder
L3,contamination
L3,solder
L3,solder
L3,contamination
L3,alignment
L3,contamination
L3,solder
L3,solder
L3,alignment
L3,alignment
L3,contamination
L3,other
L3,other
L3,solder
L3,contamination
L3,other
L3,solder
L3,solder
L3,solder
L3,contamination
L3,contamination
L3,solder
L3,other
L3,solder
L3,alignment
L3,solder
L3,contamination
L3,solder
L3,alignment
L3,solder
L3,alignment
L3,contamination
L3,solder
L3,other
L3,alignment
L3,solder
L3,solder
L3,solder
L3,solder
L3,contamination
L3,solder
L3,alignment
L3,alignment
L3,alignment
L3,alignment
L3,solder
L3,solder
L3,alignment
L3,contamination
L3,alignment
L3,solder
L3,contamination
L3,solder
L3,alignment
L3,other
L3,alignment
L3,solder
L3,solder
L3,alignment
L3,contamination
L3,alignment
L3,solder
L3,solder
L3,alignment
L3,alignment
L3,solder
L3,alignment
L3,alignment
L3,solder
L3,contamination
L3,solder
L3,solder
L3,alignment
L3,contamination
L3,alignment
L3,alignment
L3,solder
L3,alignment
L3,alignment
L3,solder
L3,contamination
L3,solder
L3,alignment
L3,alignment
L3,alignment
L3,contamination
L3,contamination
L3,solder
L3,solder
L3,alignment
L3,solder
L3,alignment
L3,alignment
L3,alignment
L3,alignment
L3,solder
L3,contamination
L3,alignment
L3,contamination
L3,other
L3,alignment
L3,alignment
L3,contamination
L3,alignment
