day,cpu_load_pct,energy_kwh
1,17.3,13.591
2,17.54,19.26
3,19.82,20.631
4,20.68,22.873
5,21.14,16.008
6,25.08,22.864
7,26.08,21.472
8,27.66,27.711
9,30.86,21.128
10,32.9,20.617
11,34.53,26.871
12,35.79,22.604
13,37.51,21.723
14,40.67,30.641
15,44.11,30.267
16,42.69,17.332
17,45.8,26.181
18,48.37,26.502
19,50.35,33.387
20,51.8,36.839
21,56.8,40.788
22,56.94,36.109
23,57.25,29.92
24,58.15,30.138
25,62.18,32.293
26,66.13,38.844
27,66.56,41.724
28,65.53,30.189
29,68.63,40.212
30,72.4,42.761
31,75.51,41.8
32,76.37,52.349
33,78.36,43.65
34,81.44,43.061
35,83.64,45.918
36,83.29,41.746
37,86.6,41.062
38,86.9,46.501
39,88.73,49.757
40,92.71,46.406
