request_id,server_a_ms,server_b_ms,server_b_paired_ms
1,133.91,149.61,125.64
2,126.86,124.67,125.09
3,132.98,119.45,118.47
4,107.81,91.04,90.2
5,128.54,91.07,120.16
6,133.54,120.2,115.48
7,128.58,107.79,121.25
8,115.14,87.71,117.78
9,65.54,107.02,61.46
10,125.8,114.76,124.14
11,119.61,123.97,113.26
12,112.83,107.28,101.06
13,128.89,104.69,126.47
14,121.72,109.1,114.2
15,120.86,111.77,111.66
16,97.23,90.39,93.63
17,97.57,122.33,95.03
18,123.19,144.05,114.66
19,119.06,122.03,105.83
20,119.94,85.83,115.56
21,120.33,110.51,116.84
22,123.76,80.75,116.61
23,118.5,79.73,108.77
24,120.21,119.55,115.47
25,121.59,110.24,115.59
26,131.01,98.01,124.4
27,110.79,75.6,109.31
28,129.01,88.7,122.07
29,126.91,111.6,122.27
30,119.48,109.51,101.98
31,111.35,120.04,106.45
32,123.17,133.37,112.43
33,130.1,103.57,119.82
34,102.95,116.5,101.66
35,118.87,106.8,118.36
36,118.91,101.06,113.58
37,108.74,105.08,96.77
38,109.33,124.37,104.77
39,96.28,92.55,92.22
40,102.56,127.26,111.96
41,96.48,132.64,90.86
42,109.37,109.57,99.49
43,110.16,113.08,99.49
44,110.42,86.41,99.85
45,123.21,146.77,117.17
46,115.37,124.66,108.74
47,107.8,111.76,94.8
48,107.89,109.92,100.71
49,102.16,116.22,107.98
50,115.25,98.58,101.13
51,115.0,113.53,113.47
52,140.72,94.22,124.47
53,139.48,116.96,121.31
54,138.69,98.15,126.12
55,147.11,123.33,133.68
56,100.96,107.07,81.81
57,127.42,113.3,126.03
58,128.65,156.37,119.13
59,124.67,121.87,115.23
60,147.77,113.28,145.58
