sample_id,line,thickness_um,shift_um
1,A,246.669,0.0
2,A,251.01,0.0
3,A,242.035,0.0
4,A,255.862,0.0
5,A,252.681,0.0
6,A,248.773,0.0
7,A,248.69,0.0
8,A,251.276,0.0
9,A,248.876,0.0
10,A,249.051,0.0
11,A,253.024,0.0
12,A,252.162,0.0
13,A,249.731,0.0
14,A,249.641,0.0
15,A,250.676,0.0
16,A,247.421,0.0
17,A,248.304,0.0
18,A,252.303,0.0
19,A,249.452,0.0
20,A,244.227,0.0
21,A,247.995,0.0
22,A,252.758,0.0
23,A,249.024,0.0
24,A,249.375,0.0
25,A,252.696,0.0
26,A,257.663,0.0
27,A,247.005,0.0
28,A,255.662,0.0
29,A,244.834,0.0
30,A,250.735,0.0
31,A,245.088,0.0
32,A,255.676,0.0
33,A,253.502,0.0
34,A,254.778,0.0
35,A,246.281,0.0
36,A,252.875,0.0
37,A,247.82,0.0
38,A,248.079,0.0
39,A,252.127,0.0
40,A,253.682,0.0
41,A,250.859,0.0
42,A,247.362,0.0
43,A,246.532,0.0
44,A,256.066,0.0
45,A,252.495,0.0
46,A,253.023,0.0
47,A,259.171,0.0
48,A,246.573,0.0
49,A,260.75,0.0
50,A,263.234,0.0
51,A,256.797,0.0
52,A,253.474,0.0
53,A,247.212,0.0
54,A,254.177,0.0
55,A,248.141,0.0
56,A,249.909,0.0
57,A,248.78,0.0
58,A,251.192,0.0
59,A,255.41,0.0
60,A,247.667,0.0
61,A,245.861,0.0
62,A,245.788,0.0
63,A,245.933,0.0
64,A,243.989,0.0
65,A,246.166,0.0
66,A,255.432,0.0
67,A,247.508,0.0
68,A,251.08,0.0
69,A,244.889,0.0
70,A,250.713,0.0
71,A,242.689,0.0
72,A,247.065,0.0
73,A,259.469,0.0
74,A,247.552,0.0
75,A,254.704,0.0
76,A,251.911,0.0
77,A,249.357,0.0
78,A,247.261,0.0
79,A,255.405,0.0
80,A,249.255,0.0
81,A,256.415,0.0
82,A,246.98,0.0
83,A,250.241,0.0
84,A,251.955,0.0
85,A,251.567,0.0
86,A,244.818,0.0
87,A,247.211,0.0
88,A,249.177,0.0
89,A,246.414,0.0
90,A,252.845,0.0
91,B,252.47,0.0
92,B,241.78,0.0
93,B,242.418,0.0
94,B,244.617,0.0
95,B,250.492,0.0
96,B,258.539,0.0
97,B,248.394,0.0
98,B,251.053,0.0
99,B,245.535,0.0
100,B,245.603,0.0
101,B,241.78,0.0
102,B,249.881,0.0
103,B,253.978,0.0
104,B,248.502,0.0
105,B,255.865,0.0
106,B,250.831,0.0
107,B,249.847,0.0
108,B,252.172,0.0
109,B,252.047,0.0
110,B,254.821,0.0
111,B,246.632,0.0
112,B,240.39,0.0
113,B,250.482,0.0
114,B,247.431,0.0
115,B,249.886,0.0
116,B,256.99,0.0
117,B,245.368,0.0
118,B,253.212,0.0
119,B,253.973,0.0
120,B,251.935,0.0
121,B,254.698,0.0
122,B,248.075,0.0
123,B,247.138,0.0
124,B,254.364,0.0
125,B,253.025,0.0
126,B,255.84,0.0
127,B,250.892,0.0
128,B,256.819,0.0
129,B,248.815,0.0
130,B,245.547,0.0
131,B,241.444,0.0
132,B,245.374,0.0
133,B,253.438,0.0
134,B,243.847,0.0
135,B,248.1,0.0
136,B,258.848,0.0
137,B,253.557,0.0
138,B,257.522,0.0
139,B,245.835,0.0
140,B,239.668,0.0
141,B,256.369,0.0
142,B,244.049,0.0
143,B,250.382,0.0
144,B,250.912,0.0
145,B,246.015,0.0
146,B,256.521,0.0
147,B,256.507,0.0
148,B,252.316,0.0
149,B,249.876,0.0
150,B,250.804,0.0
151,B,245.397,0.0
152,B,248.996,0.0
153,B,249.559,0.0
154,B,246.421,0.0
155,B,253.567,0.0
156,B,247.509,3.5
157,B,251.596,3.5
158,B,244.038,3.5
159,B,255.587,3.5
160,B,256.619,3.5
161,B,256.109,3.5
162,B,265.756,3.5
163,B,257.447,3.5
164,B,249.544,3.5
165,B,264.687,3.5
166,B,249.635,3.5
167,B,256.813,3.5
168,B,256.621,3.5
169,B,249.805,3.5
170,B,259.36,3.5
171,B,254.989,3.5
172,B,255.898,3.5
173,B,250.662,3.5
174,B,258.971,3.5
175,B,249.884,3.5
176,B,246.028,3.5
177,B,259.486,3.5
178,B,251.708,3.5
179,B,253.682,3.5
180,B,261.576,3.5
