sample_id,supplier,impurity_mg_kg
1,A,12.253
2,A,13.863
3,A,11.979
4,A,12.274
5,A,12.443
6,A,9.714
7,A,11.758
8,A,12.97
9,A,11.316
10,A,11.941
11,A,11.954
12,A,9.788
13,A,13.126
14,A,10.104
15,A,12.592
16,A,11.813
17,A,11.522
18,A,12.093
19,A,13.055
20,A,13.139
21,A,11.398
22,A,11.77
23,A,10.797
24,A,9.954
25,B,16.626
26,B,13.554
27,B,14.097
28,B,15.769
29,B,13.178
30,B,15.92
31,B,13.934
32,B,13.495
33,B,14.329
34,B,13.923
35,B,15.554
36,B,17.327
37,B,16.211
38,B,15.897
39,B,14.277
40,B,14.838
41,B,15.339
42,B,15.086
43,B,15.387
44,B,13.367
45,B,17.809
46,B,13.144
47,B,14.923
48,B,16.38
49,C,11.376
50,C,13.709
51,C,10.508
52,C,11.374
53,C,9.282
54,C,13.681
55,C,10.783
56,C,11.433
57,C,13.326
58,C,12.775
59,C,13.709
60,C,13.166
61,C,13.481
62,C,11.697
63,C,12.21
64,C,13.281
65,C,13.298
66,C,13.549
67,C,11.324
68,C,10.894
69,C,10.687
70,C,11.703
71,C,12.187
72,C,10.767
